ID,Gender,Ever_Married,Graduated,Spending_Score,Segmentation
462809,Male,No,No,Low,D
462643,Female,Yes,Yes,Average,A
466315,Female,Yes,Yes,Low,B
461735,Male,Yes,Yes,High,B
462669,Female,Yes,Yes,High,A
461319,Male,Yes,No,Average,C
460156,Male,No,Yes,Low,C
464347,Female,No,Yes,Low,D
465015,Female,Yes,Yes,Low,D
465176,Female,Yes,Yes,Average,C
464041,Female,No,Yes,Low,A
464942,Male,No,No,Low,D
461230,Female,No,No,Low,D
459573,Male,Yes,No,Low,A
460849,Female,Yes,No,Low,B
460563,Female,No,No,Low,C
466865,Female,No,No,Low,D
461644,Male,No,No,Low,B
466772,Male,Yes,Yes,Average,B
464291,Female,Yes,Yes,High,C
466084,Male,Yes,Yes,Low,A
459675,Female,No,No,Low,D
465602,Male,Yes,Yes,Low,A
459168,Female,No,Yes,Low,B
465083,Male,Yes,No,Average,C
467604,Male,No,No,Low,A
459717,Male,Yes,Yes,Average,C
465882,Male,No,Yes,Low,B
461996,Female,No,No,Low,C
463331,Female,Yes,Yes,Low,C
462216,Female,Yes,No,Low,A
462454,Male,No,No,Low,D
467010,Male,No,No,Low,D
459861,Female,Yes,No,High,D
467917,Female,No,Yes,Low,D
465572,Male,No,No,Low,D
460593,Female,Yes,No,Average,D
465891,Female,Yes,Yes,Low,A
467442,Male,Yes,Yes,Average,C
462044,Female,No,Yes,Low,B
465686,Female,No,No,Low,D
464590,Female,No,Yes,Low,A
466006,Female,Yes,Yes,Low,C
466152,Male,Yes,No,Low,A
463156,Female,Yes,No,High,A
465729,Male,Yes,Yes,Average,B
462384,Female,No,Yes,Low,A
462442,Male,No,No,Low,D
464191,Female,No,Yes,Low,A
462078,Female,Yes,No,Average,B
467873,Female,Yes,Yes,Average,C
461270,Male,Yes,Yes,Low,A
462960,Female,Yes,Yes,Average,C
464961,Male,Yes,No,Low,A
462110,Male,Yes,Yes,Average,B
465769,Male,No,Yes,Low,D
465269,Female,Yes,Yes,Average,C
460881,Male,Yes,Yes,Low,D
461891,Male,Yes,Yes,Average,C
466935,Male,Yes,Yes,Average,C
464091,Male,Yes,Yes,High,D
464535,Male,Yes,Yes,High,A
463108,Male,Yes,Yes,High,A
461356,Male,No,Yes,Low,A
464570,Male,Yes,Yes,Average,A
464580,Male,No,No,Low,A
465233,Male,Yes,Yes,Average,B
467208,Female,Yes,Yes,High,A
459954,Male,Yes,Yes,Low,D
460219,Female,Yes,Yes,Average,A
460877,Female,Yes,No,Average,B
460191,Female,No,No,Low,D
463742,Male,Yes,Yes,Average,C
463691,Female,No,No,Low,B
463250,Female,No,Yes,Low,D
463952,Male,Yes,No,Low,A
461558,Male,Yes,Yes,Average,C
466567,Female,No,Yes,Low,D
465379,Male,No,No,Low,C
463814,Female,No,No,Low,D
466938,Male,Yes,Yes,Low,A
460671,Male,Yes,No,Average,B
462204,Female,No,No,Low,A
461671,Male,No,No,Low,D
459384,Male,Yes,Yes,Average,C
459905,Female,Yes,Yes,Low,C
464734,Female,No,No,Low,D
464125,Male,Yes,No,Average,D
467434,Male,No,Yes,Low,B
460956,Female,Yes,Yes,Average,C
465179,Female,Yes,Yes,High,C
463338,Male,Yes,No,Low,D
467066,Male,Yes,No,Low,B
463845,Male,Yes,Yes,Average,D
459976,Female,No,Yes,Low,D
461334,Male,Yes,Yes,High,C
465108,Male,Yes,Yes,Average,C
462600,Male,Yes,No,Average,D
464144,Male,Yes,Yes,Average,C
466911,Male,Yes,No,High,B
462806,Male,Yes,No,Low,A
463426,Male,Yes,No,High,A
464065,Female,Yes,Yes,Low,B
462979,Male,No,No,Low,D
462834,Male,Yes,Yes,Low,D
460764,Male,No,No,Low,D
460185,Male,No,No,Low,D
459749,Male,Yes,Yes,Low,A
464406,Female,No,Yes,Low,A
467758,Female,Yes,Yes,Low,B
462059,Male,No,Yes,Low,C
467905,Male,Yes,Yes,High,D
461177,Male,Yes,No,Average,B
460765,Male,Yes,No,Low,D
465386,Male,No,Yes,Low,C
465827,Male,No,No,Low,D
462332,Female,Yes,Yes,High,A
464481,Male,Yes,Yes,High,C
461011,Male,Yes,No,High,B
464749,Female,Yes,No,Average,B
461094,Female,No,Yes,Low,D
462104,Male,Yes,No,Low,D
464524,Female,Yes,No,Low,A
466295,Female,Yes,No,Low,A
461787,Male,Yes,Yes,Average,C
467857,Female,Yes,Yes,Low,A
460153,Male,No,Yes,Low,C
465215,Male,Yes,Yes,High,A
466746,Female,Yes,Yes,High,C
464857,Male,No,No,Low,D
459478,Male,Yes,Yes,Low,A
460723,Female,Yes,Yes,High,B
459853,Male,No,No,Low,A
459390,Female,No,No,Low,B
460410,Female,No,Yes,Low,D
463823,Female,No,No,Low,D
462008,Female,Yes,Yes,Low,B
459750,Female,Yes,Yes,Average,A
459880,Female,Yes,Yes,Average,C
459261,Female,No,Yes,Low,C
465656,Male,Yes,No,Low,B
465395,Female,Yes,No,Average,B
461631,Male,No,No,Low,C
464904,Female,Yes,No,Average,A
461740,Male,Yes,Yes,Low,B
467092,Female,No,Yes,Low,D
464173,Male,Yes,Yes,Average,C
464972,Male,Yes,No,High,A
467959,Female,No,No,Low,A
467688,Female,Yes,Yes,Average,C
460043,Female,Yes,Yes,Average,B
466590,Female,No,Yes,Low,C
461191,Female,Yes,Yes,Low,D
465662,Male,Yes,No,Low,C
459231,Female,Yes,Yes,Average,C
466495,Female,Yes,Yes,High,B
459192,Male,Yes,Yes,Average,C
465710,Female,No,Yes,Low,C
460258,Female,No,Yes,Low,D
462813,Male,Yes,No,Average,A
463595,Female,No,No,Low,C
467768,Male,Yes,Yes,Average,C
465291,Female,Yes,Yes,Average,C
462996,Female,Yes,Yes,Average,C
463497,Male,No,Yes,Low,D
465301,Female,Yes,Yes,Low,B
464702,Male,Yes,No,Average,C
459012,Male,Yes,Yes,Low,B
465053,Male,Yes,Yes,High,C
459420,Female,Yes,Yes,Low,B
464166,Male,No,Yes,Low,B
458987,Female,Yes,Yes,High,C
467745,Male,Yes,Yes,Average,C
464866,Female,No,No,Low,D
461081,Female,No,No,Low,D
467896,Female,No,No,Low,D
463991,Female,No,Yes,Low,A
466620,Female,Yes,Yes,Average,C
462594,Male,Yes,No,Average,B
462206,Female,No,Yes,Low,B
460697,Male,Yes,Yes,Average,C
467934,Female,No,Yes,Low,A
460054,Male,Yes,Yes,Low,C
459576,Female,Yes,No,Low,A
467910,Female,No,No,Low,A
467335,Female,Yes,No,Average,D
460263,Male,Yes,Yes,Low,B
459340,Male,Yes,Yes,Average,B
465622,Female,Yes,Yes,Low,C
459395,Male,Yes,No,Low,D
467539,Male,Yes,Yes,Average,C
466574,Male,Yes,Yes,Low,C
466544,Male,Yes,Yes,Average,A
463610,Female,Yes,Yes,Average,A
465539,Female,Yes,Yes,High,B
459823,Male,Yes,Yes,Low,A
467614,Male,Yes,No,Average,B
459073,Female,No,Yes,Low,C
464863,Female,Yes,No,Average,D
460022,Female,Yes,Yes,Low,A
459929,Male,Yes,Yes,Low,A
466613,Male,No,No,Low,D
461149,Female,No,No,Low,D
466068,Female,Yes,Yes,Low,C
461513,Male,No,Yes,Low,B
464761,Female,Yes,No,Average,B
466236,Female,Yes,Yes,Low,B
459664,Male,No,Yes,Low,B
461967,Female,No,No,Low,C
461710,Female,Yes,Yes,Average,C
462742,Male,No,No,Low,D
459528,Female,Yes,Yes,Average,C
462691,Male,Yes,No,Average,B
462934,Male,Yes,No,High,A
465837,Male,No,Yes,Low,A
467515,Male,Yes,Yes,Average,A
463429,Female,No,Yes,Low,A
464024,Male,No,No,Low,D
460691,Female,No,No,Low,D
461825,Female,No,No,Low,A
467271,Male,Yes,Yes,Average,B
465634,Male,No,Yes,Low,B
464801,Male,No,No,Low,D
459429,Female,Yes,Yes,Low,D
459888,Female,Yes,No,High,D
463467,Female,No,No,Low,D
462036,Female,Yes,Yes,High,B
461282,Male,No,No,Low,D
460448,Female,No,Yes,Low,A
464464,Male,No,No,Low,C
462410,Female,No,No,Low,B
467252,Female,No,Yes,Low,D
459756,Female,Yes,No,High,B
463789,Female,Yes,Yes,Low,C
466947,Male,Yes,No,High,C
464150,Female,Yes,Yes,Average,C
465693,Female,Yes,Yes,High,A
461670,Male,Yes,Yes,Average,C
466768,Female,Yes,Yes,Low,C
461550,Male,Yes,Yes,Low,A
462438,Male,No,No,Low,D
460704,Male,Yes,Yes,Low,B
464884,Male,Yes,Yes,Low,A
467050,Female,No,No,Low,B
460738,Female,No,No,Low,A
466176,Male,No,Yes,Low,B
459488,Male,Yes,No,Average,A
